id,id_relevance,type_de,type_fr,type_en,pct,inst,question,instrument,relevance,highlight,"label_de","label_fr","label_en","caption_de","caption_fr","caption_en"
IPi_WirtImpQual_2,,Beschäftigung KMU,Emploi PME,Employment SME,29,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_WirtImpQual_1,,Umsatz KMU,Chiffre d'affaires des PME,Turnover SME,27,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_WirtImpQual_4,,F&E Ausgaben KMU,Dépenses de R&D PME,R&D expenditure SME,24,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_WirtImpQual_3,,F&E-Beschäftigung KMU,Emploi en R&D PME,R&D employment SME,23,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_WirtImpQual_5,,Produktivität Unternehmen,Productivité de l'entreprise,Company productivity,21,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_Kosteneinsparungen_1,,Kosteneinsparungen Unternehmen,Économies de coûts de l'entreprise,Company cost savings,12,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,false,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
IPi_Komibination_1,,Insgesamt,Total,Overall,57,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsprojekte mit UP,0,true,"Unternehmen, die über direkte positive Effekte der Innovationsförderung berichten, Anteil in %","Entreprises qui font état d'effets positifs directs de la promotion de l'innovation, part en %.","Companies reporting direct positive effects of innovation funding, share in %","Einschätzungen der Fördernehmer auf einer 6-er Skalenbewertung und vorgegebener Definition: (4) eher hoher Beitrag, (5) hoher Beitrag, (6) sehr hoher Beitrag.","Appréciations des bénéficiaires de l'encouragement sur une échelle de 6 niveaux, selon la définition suivante : (4) contribution plutôt élevée, (5) contribution élevée, (6) contribution très élevée.","Funding beneficiaries’ ratings on a 6-point scale with the following definitions: (4) fairly high contribution, (5) high contribution, (6) very high contribution."
ISf_WichtigsteZiele_10,ISf_WichtigsteZiele_3,Eingabe bei anderem Förderangebot der Innosuisse vorbereitet,Préparation d'une demande auprès d'un autre instrument de promotion de l'innovation auprès d'Innosuisse,Submission to another Innosuisse innovation funding instrument prepared,77,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsscheck,90,false,"KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","PME rapportant des résultats atteints / entièrement atteints, part en %","SMEs reporting achieved/fully achieved results, share in %","","",""
ISf_WichtigsteZiele_7,ISf_WichtigsteZiele_4,Innovationsidee weiterentwickelt / getestet,Idée d'innovation développée / testée,Innovation idea further developed/tested,86,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsscheck,91,false,"KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","PME rapportant des résultats atteints / entièrement atteints, part en %","SMEs reporting achieved/fully achieved results, share in %","","",""
ISf_WichtigsteZiele_9,ISf_WichtigsteZiele_5,Konkrete und nutzbare Ergebnisse erzielt,Résultats concrets et utilisables obtenus,Concrete and usable results achieved,37,Förderung für Schweizer Innovationsprojekte,Ergebnisse,Innovationsscheck,91,false,"KMU, die über erreichte / vollständig erreichte Ergebnisse berichten, Anteil in %","PME rapportant des résultats atteints / entièrement atteints, part en %","SMEs reporting achieved/fully achieved results, share in %","","",""
